cluster,size,silhouette,calinski_harabasz,davies_bouldin
0,542,0.2986820555190043,1459.9290849053668,1.055325755407581
1,673,0.2986820555190043,1459.9290849053668,1.055325755407581
2,167,0.2986820555190043,1459.9290849053668,1.055325755407581
3,920,0.2986820555190043,1459.9290849053668,1.055325755407581
4,345,0.2986820555190043,1459.9290849053668,1.055325755407581
